society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Environment Rating,Lifestyle Rating ,Connectivity Rating,Saftey Rating,furnishing_status,Private Garden / Terrace,Maintenance Staff,Water Storage,Park,Visitor Parking,Waste Disposal,Rain Water Harvesting,Security,cumulative_weight,latitude,longitude,region_cluster
Gated Community,6,24691,2430,4,5,3+,2,1,1 to 5 Year Old,5,4,3,4,Fully Furnished,0,1,1,1,1,0,0,1,0.5,28.462276,77.0410012,0
independent,6.25,2778,6430.5,9,9,3+,3,2,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,0,1,1,1,0,0,0,0.5,28.4232478,77.0804487,0
Gated Community,7.05,46906,1503,18,18,3+,4,2,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,1,0.5,28.4601,77.02635,0
independent,4.5,25000,1800,16,16,3+,4,4,1 to 5 Year Old,4,4,5,4,Fully Furnished,0,0,0,1,1,1,0,0,0,28.4552808,77.0237905,0
independent,3.69,23699,1557,4,4,2,2,0,5 to 10 Year Old,5,5,5,4,Fully Furnished,1,1,0,1,1,0,0,1,2.5,28.4540044,77.0497179,0
independent,2.5,25960,963,7,7,3,4,7,1 to 5 Year Old,5,5,5,5,Fully Furnished,0,0,0,1,1,0,0,0,0.5,28.4545693,77.0826249,0
independent,5.5,28424,1935,1,1,0,1,6,10+ Year Old,5,5,5,5,Fully Furnished,0,0,0,1,1,0,0,0,0.5,28.4545693,77.0826249,0
Gated Community,15,33333,4500,4,4,2,2,7,5 to 10 Year Old,5,5,5,5,Fully Furnished,1,1,1,0,0,0,0,1,0.5,28.4150509,77.0642955,0
Gated Community,6.95,4490,6430.5,3,3,1,2,2,5 to 10 Year Old,5,5,5,5,Fully Furnished,1,1,1,0,0,0,0,1,0.5,28.4601,77.02635,0
Gated Community,5.7,14729,3870,5,5,2,2,2,10+ Year Old,5,5,5,4,Fully Furnished,1,1,1,1,1,0,0,0,1,28.4601,77.02635,0
Gated Community,11.3,25111,4500,7,5,3+,4,0,1 to 5 Year Old,5,4,3,4,Fully Furnished,1,1,1,1,1,1,1,0,3,28.5109205,77.0065956,0
Gated Community,11.25,25000,4500,7,5,3+,4,2,1 to 5 Year Old,5,4,3,4,Fully Furnished,1,1,0,1,1,0,1,0,2.5,28.5109205,77.0065956,0
Gated Community,4.02,7309,5500,4,4,3+,3,2,1 to 5 Year Old,5,4,4,4,Fully Furnished,1,1,1,0,0,0,0,1,3.5,28.3846684,77.0220391,0
Gated Community,5.7,10556,5400,4,4,3+,4,0,1 to 5 Year Old,5,4,3,4,Fully Furnished,1,1,1,1,1,0,0,1,1.5,28.4601,77.02635,0
independent,1,74074,135,9,7,3+,3,1,5 to 10 Year Old,4,4,4,4,Fully Furnished,0,0,0,0,0,0,0,0,2,28.4601,77.02635,0
independent,0.66,12000,550,3,1,1,3,0,1 to 5 Year Old,4,4,4,4,Unfurnished,0,0,1,1,1,0,0,0,0.5,28.4601,77.02635,0
Gated Community,0.7,10233,684,3,2,1,2,2,0 to 1 Year Old,4,4,5,4,Fully Furnished,0,0,0,1,1,0,0,0,1,28.4601,77.02635,0
independent,1.45,26852,540,3,3,1,2,0,10+ Year Old,4,5,5,4,Fully Furnished,1,0,0,0,0,0,0,0,0,28.503445,77.0952048,0
Gated Community,0.95,8878,1070,4,3,2,1,0,10+ Year Old,3,4,4,4,Fully Furnished,0,0,0,1,0,0,0,0,0,26.91667,87.91667,-1
independent,4.5,14286,3150,9,9,3+,3,0,1 to 5 Year Old,4,4,4,4,Fully Furnished,1,0,1,1,1,0,1,0,2.5,28.4690266,76.9962811,0
independent,0.9,8928,1008,3,1,0,1,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.45,8007,562,3,2,1,1,2,10+ Year Old,4,4,5,4,Fully Furnished,0,0,0,0,0,0,0,0,0,28.4601,77.02635,0
independent,1,11111,900,4,3,3+,4,2,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0.5,28.6273247,75.96433886,1
Gated Community,0.6,5698,1053,5,4,3+,2,1,1 to 5 Year Old,4,4,5,4,Fully Furnished,0,0,0,0,0,0,0,0,1,28.4601,77.02635,0
independent,7,28283,2475,7,7,3+,3,6,5 to 10 Year Old,5,5,5,5,Fully Furnished,1,1,1,0,0,0,0,1,3.5,28.4597391,77.0612091,0
independent,3.93,24214,1623,19,17,3,4,3,1 to 5 Year Old,4,4,5,5,Fully Furnished,1,0,1,1,1,1,0,0,3.5,28.4601,77.02635,0
independent,4,26613,1503,4,4,3+,2,0,1 to 5 Year Old,4,5,5,4,Fully Furnished,1,0,1,1,0,0,0,0,0,28.4253232,77.0985157,0
